species,group name,salt conc,shoot fw,root fw,total fw,shoot dw,root dw,total dw,shoot height,root length,leaf no,fw root shoot ratio,dw root shoot ratio,shoot moisture,root moisture,total moisture,notes
barley,the mandrakes,0.0,0.470,0.726,1.196,0.039,0.038,0.077,24.0,31.0,3,0.647,1.026,0.431,0.688,1.119,
barley,the mandrakes,1.5,0.580,1.370,1.950,0.073,0.065,0.138,25.5,25.0,3,0.423,1.123,0.507,1.305,1.812,
barley,the mandrakes,2.5,0.573,1.275,1.848,0.067,0.056,0.123,20.5,19.4,3,0.449,1.196,0.506,1.219,1.725,
barley,the mandrakes,5.0,0.621,1.192,1.813,0.083,0.053,0.136,23.0,23.7,3,0.521,1.566,0.538,1.139,1.677,
barley,the mandrakes,10.0,0.387,0.598,0.985,0.057,0.044,0.101,17.0,21.0,3,0.647,1.295,0.330,0.554,0.884,
barley,the mandrakes,15.0,0.319,0.348,0.667,0.050,0.020,0.070,15.0,13.5,3,0.917,2.500,0.269,0.328,0.597,
barley,Branch Managers,0.0,0.625,0.828,1.453,0.073,0.062,0.135,29.5,25.6,3,0.755,1.177,0.552,0.766,1.318,
barley,Branch Managers,1.5,1.034,0.862,1.896,0.098,0.076,0.174,28.1,27.4,3,1.200,1.289,0.936,0.786,1.722,
barley,Branch Managers,2.5,0.428,0.470,0.898,0.063,0.046,0.109,20.4,30.9,3,0.911,1.370,0.365,0.424,0.789,
barley,Branch Managers,5.0,0.906,0.470,1.376,0.063,0.083,0.146,21.5,32.7,3,1.928,0.759,0.843,0.387,1.230,
barley,Branch Managers,10.0,0.192,0.395,0.587,0.060,0.027,0.087,15.6,21.8,2,0.486,2.222,0.132,0.368,0.500,
barley,Branch Managers,15.0,0.106,0.326,0.432,0.051,0.013,0.064,13.5,11.4,2,0.325,3.923,0.055,0.313,0.368,yellow at top of leaf
barley,Barley Functional,0.0,0.306,0.642,0.948,0.042,0.064,0.106,16.0,18.0,2,0.477,0.656,0.264,0.578,0.842,
barley,Barley Functional,1.5,0.364,1.030,1.394,0.046,0.118,0.164,14.0,26.0,2,0.353,0.390,0.318,0.912,1.230,
barley,Barley Functional,2.5,0.430,0.427,0.857,0.055,0.091,0.146,20.5,29.0,3,1.007,0.604,0.375,0.336,0.711,
barley,Barley Functional,5.0,0.336,0.602,0.938,0.049,0.080,0.129,16.5,17.5,3,0.558,0.613,0.287,0.522,0.809,
barley,Barley Functional,10.0,0.257,0.404,0.661,0.040,0.038,0.078,14.0,11.0,2,0.636,1.053,0.217,0.366,0.583,
barley,Barley Functional,15.0,0.173,0.121,0.294,0.024,0.023,0.047,11.0,11.0,2,1.430,1.043,0.149,0.098,0.247,
barley,Plant Asalters,0.0,0.326,0.345,0.671,0.042,0.045,0.087,16.7,27.5,3,0.945,0.933,0.284,0.300,0.584,
barley,Plant Asalters,1.5,0.528,0.632,1.160,0.066,0.055,0.121,25.1,25.1,3,0.835,1.200,0.462,0.577,1.039,
barley,Plant Asalters,2.5,0.337,0.349,0.686,0.052,0.039,0.091,17.1,18.3,3,0.966,1.333,0.285,0.310,0.595,
barley,Plant Asalters,5.0,0.364,0.477,0.841,0.05,0.053,0.103,16.7,22.5,3,0.763,0.943,0.314,0.424,0.738,
barley,Plant Asalters,10.0,0.469,0.560,1.029,0.058,0.061,0.119,18.5,25.4,3,0.838,0.951,0.411,0.499,0.910,
barley,Plant Asalters,15.0,0.188,0.150,0.338,0.034,0.018,0.052,11.9,15.7,2,1.253,1.889,0.154,0.132,0.286,
barley,saltburners,0.0,0.567,0.425,0.992,0.063,0.055,0.118,23.8,18.6,3,1.334,1.145,0.504,0.370,0.874,
barley,saltburners,1.5,0.577,0.601,1.178,0.071,0.058,0.129,23.5,19.5,3,0.960,1.224,0.506,0.543,1.049,
barley,saltburners,2.5,0.992,0.546,1.538,0.113,0.052,0.165,25.7,27.5,4,1.817,2.173,0.879,0.494,1.373,
barley,saltburners,5.0,0.418,0.231,0.649,0.054,0.030,0.084,15.6,22.0,3,1.810,1.800,0.364,0.201,0.565,
barley,saltburners,10.0,0.307,0.133,0.440,0.044,0.017,0.061,15.9,15.0,3,2.308,2.588,0.263,0.116,0.379,
barley,saltburners,15.0,0.166,0.031,0.197,0.028,0.005,0.033,11.7,5.5,2,5.355,5.600,0.138,0.026,0.164,
barley,Salty Quack,0.0,1.190,2.507,3.697,0.139,0.235,0.374,34.0,32.0,4,0.475,0.591,1.051,2.272,3.323,
barley,Salty Quack,1.5,1.710,2.290,4.000,0.188,0.157,0.345,38.5,24.0,4,0.747,1.197,1.522,2.133,3.655,
barley,Salty Quack,2.5,1.148,1.143,2.291,0.182,0.134,0.316,35.0,19.5,4,1.004,1.358,0.966,1.009,1.975,
