species,group name,salt conc,shoot fw,root fw,total fw,shoot dw,root dw,total dw,shoot height,root length,leaf no,shoot height ratio to control mean,root length ratio to control mean,leaf no ratio to control mean,fw root shoot ratio,dw root shoot ratio,shoot moisture,root moisture,total moisture,notes
barley,salt and pepper,0,0.435,0.693,1.128,0.064,0.11,0.174,22,37.5,3,,,,0.628,0.582,0.371,0.583,0.954,
barley,salt and pepper,1.5,0.393,0.337,0.73,0.052,0.048,0.1,21,17,3,,,,1.166,1.083,0.341,0.289,0.63,
barley,salt and pepper,2.5,0.595,0.651,1.246,0.087,0.081,0.168,25.5,32,4,,,,0.914,1.07,0.508,0.57,1.078,
barley,salt and pepper,5,0.519,0.481,1,0.079,0.063,0.142,24.5,33,3,,,,1.079,1.254,0.44,0.418,0.858,
barley,salt and pepper,10,0.557,0.351,0.908,0.085,0.044,0.129,26.5,25.5,3,,,,1.587,1.932,0.472,0.307,0.779,
barley,salt and pepper,15,0.303,0.094,0.397,0.05,0.014,0.064,20.1,17.6,2,,,,3.223,3.571,0.253,0.08,0.333,
barley,The Barley Davidsons,0,1.696,1.21,2.906,0.167,0.075,0.242,33.1,38.5,3,,,,1.402,2.227,1.529,1.135,2.664,Green shoot
barley,The Barley Davidsons,1.5,0.931,0.39,1.321,0.1,0.032,0.132,28.6,24.1,3,,,,2.387,3.125,0.831,0.358,1.189,"Green shoot, yellow tips"
barley,The Barley Davidsons,2.5,1.01,0.661,1.671,0.1,0.046,0.146,30.2,20.6,4,,,,1.528,2.174,0.91,0.615,1.525,"Green shoot, yellow tips"
barley,The Barley Davidsons,5,1.083,0.425,1.508,0.125,0.038,0.163,31.2,26.6,4,,,,2.548,3.289,0.958,0.387,1.345,"Green shoot, yellow tips"
barley,The Barley Davidsons,10,0.543,0.151,0.694,0.076,0.015,0.091,27.2,13.5,2,,,,3.596,5.067,0.467,0.136,0.603,"Green shoot, yellow tips"
barley,The Barley Davidsons,15,0.413,0.14,0.553,0.069,0.015,0.084,23.1,12.9,3,,,,2.95,4.6,0.344,0.125,0.469,Green shoot
barley,Barley Working,0,2.604,1.322,3.925,0.261,0.141,0.402,37.7,21.1,7,,,,1.97,1.851,2.343,1.181,3.523,
barley,Barley Working,1.5,1.437,1.021,2.458,0.171,0.111,0.282,35.1,22.5,3,,,,1.408,1.541,1.266,0.91,2.176,Dots of discolouration on lowest leaf
barley,Barley Working,2.5,2.208,1.428,3.636,0.252,0.144,0.396,40.4,21.2,5,,,,1.547,1.75,1.956,1.284,3.24,
barley,Barley Working,5,1.326,0.663,1.989,0.174,0.072,0.246,38.5,25.5,4,,,,1.998,2.417,1.152,0.591,1.743,
barley,Barley Working,10,0.711,0.411,1.122,0.113,0.047,0.16,28.1,30.7,3,,,,1.73,2.404,0.598,0.364,0.962,
barley,Barley Working,15,0.453,0.123,0.576,0.079,0.02,0.099,21.6,17.5,3,,,,3.67,3.95,0.374,0.103,0.477,
barley,Five Guys,0,0.906,1.24,2.146,0.13,0.122,0.252,32,19,4,,,,0.731,1.066,0.776,1.118,1.894,"green shoots, light discolouration"
barley,Five Guys,1.5,1.446,0.995,2.441,0.175,0.091,0.266,31.5,23,4,,,,1.453,1.923,1.271,0.904,2.175,green shoots
barley,Five Guys,2.5,0.99,1.037,2.027,0.126,0.089,0.215,33.6,23.5,4,,,,0.955,1.416,0.864,0.948,1.812,"green shoots, slight discolouration"
barley,Five Guys,5,0.865,0.659,1.524,0.121,0.09,0.211,27,17.5,3,,,,1.313,1.344,0.744,0.569,1.313,green shoots. Please note: two seeds were entangled and had to be seperated during the prac session
barley,Five Guys,10,0.407,0.179,0.586,0.069,0.02,0.089,20.8,17,3,,,,2.274,3.45,0.338,0.159,0.497,"small green shoots, with long root length"
barley,Five Guys,15,0.39,0.142,0.532,0.063,0.014,0.077,21.8,14.8,2,,,,2.746,4.5,0.327,0.128,0.455,"green shoots, poor growth"
barley,Bali,0,1.803,0.953,2.756,0.21,0.083,0.293,38.9,16.5,6,,,,1.892,2.53,1.593,0.87,2.463,"green, no discolouration, bent"
barley,Bali,1.5,1.566,0.632,2.198,0.172,0.048,0.22,33.5,17.3,5,,,,2.478,3.583,1.394,0.584,1.978,"green, no discolouration, bent"
barley,Bali,2.5,1.398,0.504,1.902,0.142,0.041,0.183,31.2,13.2,5,,,,2.774,3.463,1.256,0.463,1.719,"green, no discolouration, bent"
barley,Bali,5,0.654,0.175,0.829,0.076,0.018,0.094,26.8,14.5,3,,,,3.737,4.222,0.578,0.157,0.735,"green, no discolouration, bent"
barley,Bali,10,0.561,0.168,0.729,0.082,0.012,0.094,26,14.5,3,,,,3.339,6.833,0.479,0.156,0.635,"green, no discolouration, bent"
barley,Bali,15,0.218,0.064,0.282,0.043,0.006,0.049,13.6,11,2,,,,3.406,7.167,0.175,0.058,0.233,"green, no discolouration, bent"
barley,Grass Rooters,0,0.826,0.89,1.716,0.103,0.099,0.202,30.4,29.3,4,,,,0.928,1.04,0.723,0.791,1.514,no discoloured leaves
barley,Grass Rooters,1.5,1.405,1.216,2.621,0.168,0.114,0.282,29.9,38,4,,,,1.155,1.474,1.237,1.102,2.339,no discoloured leaves
barley,Grass Rooters,2.5,1.306,1.524,2.83,0.161,0.108,0.269,33,39,4,,,,0.857,1.491,1.145,1.416,2.561,no discoloured leaves
barley,Grass Rooters,5,0.96,0.987,1.947,0.127,0.091,0.218,28.3,26.4,4,,,,0.973,1.396,0.833,0.896,1.729,no discoloured leaves
barley,Grass Rooters,10,0.584,0.357,0.941,0.089,0.046,0.135,24.1,21.1,3,,,,1.636,1.935,0.495,0.311,0.806,no discoloured leaves
barley,Grass Rooters,15,0.478,0.295,0.773,0.083,0.03,0.113,23.4,19.1,3,,,,1.62,2.767,0.395,0.265,0.66,no discoloured leaves
barley,"Xylem, I hardly even phloem",0,2.75,1.589,4.339,0.25,0.139,0.389,39,19.2,7,,,,1.731,1.799,2.5,1.45,3.95,
barley,"Xylem, I hardly even phloem",1.5,2.03,1.99,4.02,0.22,0.147,0.367,36,28,5,,,,1.02,1.497,1.81,1.843,3.653,
barley,"Xylem, I hardly even phloem",2.5,1.41,1.05,2.46,0.171,0.091,0.262,35.2,20.5,4,,,,1.343,1.879,1.239,0.959,2.198,
barley,"Xylem, I hardly even phloem",5,1.53,0.9,2.43,0.171,0.073,0.244,36.5,21,5,,,,1.7,2.342,1.359,0.827,2.186,
barley,"Xylem, I hardly even phloem",10,1.17,0.41,1.58,0.163,0.034,0.197,33.9,21.5,4,,,,2.854,4.808,1.007,0.376,1.383,
barley,"Xylem, I hardly even phloem",15,0.32,0.01,0.33,0.058,0.011,0.069,20.8,12,3,,,,32,5.273,0.262,-0.001,0.261,
barley,Vera's Violets,0,0.908,0.874,1.782,0.112,0.115,0.227,31.5,28.5,4,,,,1.039,0.974,0.796,0.759,1.555,
barley,Vera's Violets,1.5,0.923,0.674,1.597,0.111,0.089,0.2,28.5,41.5,4,,,,1.369,1.247,0.812,0.585,1.397,
barley,Vera's Violets,2.5,1.047,0.855,1.902,0.131,0.112,0.243,32.5,23,4,,,,1.225,1.17,0.916,0.743,1.659,
barley,Vera's Violets,5,0.768,0.879,1.647,0.104,0.102,0.206,29.5,14,3,,,,0.874,1.02,0.664,0.777,1.441,
barley,Vera's Violets,10,0.347,0.194,0.541,0.063,0.033,0.096,22,15.5,3,,,,1.789,1.909,0.284,0.161,0.445,
barley,Vera's Violets,15,0.342,0.103,0.445,0.062,0.018,0.08,20,13,3,,,,3.32,3.444,0.28,0.085,0.365,
barley,Plants are fish not food,0,0.577,0.875,1.452,0.073,0.062,0.135,25,18,4,,,,0.659,1.177,0.504,0.813,1.317,
barley,Plants are fish not food,1.5,0.79,0.82,1.61,0.094,0.07,0.164,30,24.3,4,,,,0.963,1.343,0.696,0.75,1.446,
barley,Plants are fish not food,2.5,0.59,0.89,1.48,0.083,0.055,0.138,26.8,22.4,4,,,,0.663,1.509,0.507,0.835,1.342,
barley,Plants are fish not food,5,0.555,0.358,0.913,0.084,0.046,0.13,28.5,13.5,3,,,,1.55,1.826,0.471,0.312,0.783,
