Group Name,Temp (˚C),Start DO,,End DO,,Time (min),Time (hr),Volume (L),DO consumed (mg h-1),Snail mass (g),Snail mass (kg),Adjusted DO consumed (mg kg-1 h-1),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,mg L-1,% sat,mg L-1,% sat,,,,((Start DO mg L-1-End DO mg L-1)/Time h) x volume L,,,(DO consumed mg h-1/snail mass kg),,(DO consumed - control),Control adjusted DO consumed mg / kg / h,,,,,,,,
Slimy Sharks,15,8.83,100.6,7.16,85.5,60,1,0.25,0.4175,19.56,0.01956,21.34458078,,0.4175,21.34458078,,,,,,,,
Slimy Sharks,18,8.94,100.3,8.87,98,60,1,0.25,0.0175,18.14,0.01814,0.964718853,,0.0175,0.964718853,,,,,,,,
Slimy Sharks,21,8.86,98.1,7.6,92.1,60,1,0.25,0.315,12.29,0.01229,25.63059398,,0.315,25.63059398,,,,,,,,
Slimy Sharks,24,8.3,98.9,4.71,53.7,60,1,0.25,0.8975,19.14,0.01914,46.89132706,,0.8975,46.89132706,,,,,,,,
Slimy Sharks,27,8.42,104,5.48,66.6,60,1,0.25,0.735,11.87,0.01187,61.92080876,,0.735,61.92080876,,,,,,,,
Slimy Sharks,30,7.96,101.3,3.37,42.7,60,1,0.25,1.1475,12.39,0.01239,92.61501211,,1.1475,92.61501211,,,,,,,,
Slimy Sharks ,Control 24,8.3,98.9,9.77,112.9,60,1,0.25,-0.3675,0,0,-0.3675,,-0.3675,#DIV/0!,,,,,,,,
Slimy Sharks ,Control 27,8.25,101.4,9.5,114.8,60,1,0.25,-0.3125,0,0,-0.3125,,-0.3125,#DIV/0!,,,,,,,,
molluscophobia gang,control 27,7.28,92,7.18,82.8,60,1,0.25,0.025,0,0,0.025,,0.025,#DIV/0!,,,,,,,,
molluscophobia gang,control 30,7.15,93,6.91,84.4,60,1,0.25,0.06,0,0,0.06,,0.06,#DIV/0!,,,,,,,,
molluscophobia gang,15,8.55,92.3,7.55,75.2,60,1,0.25,0.25,11.44,0.01144,21.85314685,,0.25,21.85314685,,,,,,,,
molluscophobia gang,18,8.46,95.4,7.98,89.3,60,1,0.25,0.12,11.71,0.01171,10.24765158,,0.12,10.24765158,,,,,,,,
molluscophobia gang,21,8.01,93,7.09,83.8,60,1,0.25,0.23,11.97,0.01197,19.21470343,,0.23,19.21470343,,,,,,,,
molluscophobia gang,24,7.7,94.8,2.26,26.1,60,1,0.25,1.36,20.47,0.02047,66.43869077,,1.36,66.43869077,,,,,,,,
molluscophobia gang,27,7.28,92,3.28,38.2,60,1,0.25,1,15,0.015,66.66666667,,1,66.66666667,,,,,,,,
molluscophobia gang,30,7.15,93,5.9,75,60,1,0.25,0.3125,18,0.018,17.36111111,,0.3125,17.36111111,,,,,,,,
weet bix kids ,15,8.96,99.9,8.37,96.7,60,1,0.25,0.1475,13.87,0.01387,10.63446287,,0.1475,10.63446287,,,,,,,,
weet bix kids ,18,8.34,98.1,8.12,91,60,1,0.25,0.055,10.8,0.0108,5.092592593,,0.055,5.092592593,,,,,,,,
weet bix kids ,21,8.6,93.9,4.7,53.9,60,1,0.25,0.975,14.42,0.01442,67.61442441,,0.975,67.61442441,,,,,,,,
weet bix kids ,24,8,92.5,5.53,62.9,60,1,0.25,0.6175,9.35,0.00935,66.04278075,,0.6175,66.04278075,,,,,,,,
weet bix kids ,27,7.66,94.6,5.18,60.2,60,1,0.25,0.62,10.33,0.01033,60.01936108,,0.62,60.01936108,,,,,,,,
weet bix kids ,30,7.21,94,5.41,65.5,60,1,0.25,0.45,10.83,0.01083,41.55124654,,0.45,41.55124654,,,,,,,,
weet bix kids ,Control 24,8,92.5,7.38,85.7,60,1,0.25,0.155,0,0,0.155,,0.155,#DIV/0!,,,,,,,,
weet bix kids ,Control 21,8.6,93.9,8.6,100,60,1,0.25,0,0,0,0,,0,#DIV/0!,,,,,,,,
Turbo ,15,8.96,99.9,8.81,93.2,60,1,0.25,0.0375,6.5,0.0065,5.769230769,,0.0375,5.769230769,,,,,,,,
Turbo ,18,9.18,99.6,7.58,81.3,60,1,0.25,0.4,11.8,0.0118,33.89830508,,0.4,33.89830508,,,,,,,,
Turbo ,21,8.48,94.7,6.74,7.6,60,1,0.25,0.435,10.98,0.01098,39.61748634,,0.435,39.61748634,,,,,,,,
Turbo ,24,8.14,96.5,6.3,76.3,60,1,0.25,0.46,8.44,0.00844,54.50236967,,0.46,54.50236967,,,,,,,,
Turbo ,27,7.83,96.2,6.02,72.1,60,1,0.25,0.4525,10.35,0.01035,43.71980676,,0.4525,43.71980676,,,,,,,,
Turbo ,30,7.92,98.2,2.21,27.5,60,1,0.25,1.4275,16.4,0.0164,87.04268293,,1.4275,87.04268293,,,,,,,,
gary,Control 15,8.96,99.9,9.4,98,60,1,0.25,-0.11,0,0,#DIV/0!,,-0.11,#DIV/0!,,,,,,,,
gary,Control 18,9.18,99.6,9.35,100,60,1,0.25,-0.0425,0,0,#DIV/0!,,-0.0425,#DIV/0!,,,,,,,,
gary,Control 21,8.48,94.7,8.91,99.5,60,1,0.25,-0.1075,0,,#DIV/0!,,,,,,,,,,,
Turbo ,Control 18,8.45,99.3,8.38,106,60,1,0.25,0.0175,,,#DIV/0!,,,,,,,,,,,
Turbo ,Control 30,7.63,96.3,7.6,103,60,1,0.25,0.0075,,,#DIV/0!,,,,,,,,,,,
APISEX,Control 15,9.13,97.1,,,60,1,0.25,2.2825,,,#DIV/0!,,,,,,,,,,,
APISEX,Control 18,8.81,97.1,,,60,1,0.25,2.2025,,,#DIV/0!,,,,,,,,,,,
APISEX,Control 21,8.56,97,,,60,1,0.25,2.14,,,#DIV/0!,,,,,,,,,,,
APISEX,15,9.13,97.1,,,60,1,0.25,2.2825,,,#DIV/0!,,,,,,,,,,,
APISEX,18,8.81,97.1,,,60,1,0.25,2.2025,,,#DIV/0!,,,,,,,,,,,
APISEX,21,8.56,97,,,60,1,0.25,2.14,,,#DIV/0!,,,,,,,,,,,
APISEX,24,8.39,98.9,,,60,1,0.25,2.0975,,,#DIV/0!,,,,,,,,,,,
APISEX,27,7.97,97.8,,,60,1,0.25,1.9925,,,#DIV/0!,,,,,,,,,,,
APISEX,30,7.78,98.7,,,60,1,0.25,1.945,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,
