temp,do_consumed
15,-36.10
18,41.85
21,81.99
24,283.67
27,37.85
30,111.69
15,45.19
18,130.21
21,-25.45
24,58.62
27,-15.86
30,21.70
15,-13.61
18,98.87
21,8.07
24,53.15
27,36.32
30,214.11
15,39.64
18,2.04
21,27.12
24,130.43
27,28.51
30,50.73
15,38.64
18,44.89
21,36.16
24,119.05
27,37.73
30,135.85
15,50.19
18,55.66
21,38.08
24,105.38
27,92.19
30,105.11
15,27.93
18,23.46
21,40.75
24,26.41
27,3.89
30,76.50
15,-4.45
18,7.06
21,-6.98
24,-22.73
27,-62.93
30,-72.69
15,36.42
18,122.22
21,36.46
24,28.25
27,164.86
30,142.81
15,27.06
18,46.69
21,13.75
24,29.54
27,170.36
30,141.07
15,14.95
18,20.32
21,66.51
24,62.77
27,23.34
30,107.37
15,65.16
18,29.86
21,7.64
24,87.41
27,17.25
30,136.56
15,48.14
18,56.19
21,51.16
24,119.67
27,47.57
30,224.45
15,10.70
18,76.92
21,102.86
24,127.29
27,100.97
30,155.97
15,32.15
18,27.71
21,63.50
24,104.93
27,61.01
30,170.45
