species,group_name,salt_conc,shoot_fw,root_fw,total_fw,shoot_dw,root_dw,total_dw,shoot_height,root_length,leaf_no,shoot_height_ratio_to_control_mean,root_length_ratio_to_control_mean,leaf_no_ratio_to_control_mean,fw_shoot_root_ratio,dw_shoot_root_ratio,shoot_moisture,root_moisture,total_moisture
barley,animal_people,0.0,0.163,0.158,0.321,0.027,0.024,0.051,13.2,10.0,3,0.5,0.6,0.9,1.027,1.125,0.136,0.134,0.270
barley,animal_people,1.5,0.225,0.103,0.328,0.033,0.014,0.047,25.8,10.5,3,1.0,0.6,0.9,2.197,2.357,0.192,0.089,0.281
barley,animal_people,2.5,0.528,0.462,0.990,0.077,0.057,0.134,28.0,22.0,3,1.1,1.3,0.9,1.141,1.351,0.451,0.405,0.856
barley,animal_people,5.0,0.329,0.087,0.416,0.046,0.020,0.066,20.0,14.0,3,0.8,0.8,0.9,3.799,2.300,0.283,0.067,0.350
barley,animal_people,10.0,0.250,0.075,0.324,0.056,0.023,0.079,17.3,10.1,2,0.7,0.6,0.6,3.340,2.435,0.194,0.052,0.245
barley,animal_people,15.0,0.183,0.051,0.235,0.036,0.012,0.048,11.0,9.2,1,0.4,0.5,0.3,3.575,3.000,0.147,0.039,0.187
barley,ASIPE,0.0,0.693,0.537,1.230,0.107,0.088,0.195,32.0,16.5,4,1.3,1.0,1.2,1.289,1.216,0.586,0.449,1.035
barley,ASIPE,1.5,0.119,0.023,0.142,0.018,0.014,0.032,15.0,20.0,3,0.6,1.2,0.9,5.256,1.286,0.101,0.009,0.110
barley,ASIPE,2.5,0.331,0.099,0.430,0.051,0.029,0.080,24.9,13.3,4,1.0,0.8,1.2,3.335,1.759,0.280,0.070,0.350
barley,ASIPE,5.0,0.420,0.072,0.492,0.071,0.031,0.102,25.2,14.0,4,1.0,0.8,1.2,5.846,2.290,0.349,0.041,0.390
barley,ASIPE,10.0,0.377,0.098,0.475,0.063,0.027,0.090,23.5,13.0,3,0.9,0.8,0.9,3.829,2.333,0.314,0.071,0.385
barley,ASIPE,15.0,0.199,0.021,0.221,0.036,0.007,0.043,16.8,9.3,3,0.7,0.6,0.9,9.357,5.143,0.163,0.014,0.178
barley,Farmville,0.0,0.625,0.180,0.805,0.081,0.044,0.125,36.0,14.0,4,1.4,0.8,1.2,3.472,1.841,0.544,0.136,0.680
barley,Farmville,1.5,0.438,0.152,0.590,0.060,0.041,0.101,29.6,13.2,4,1.2,0.8,1.2,2.882,1.463,0.378,0.111,0.489
barley,Farmville,2.5,0.375,0.168,0.543,0.051,0.031,0.082,31.0,15.0,3,1.2,0.9,0.9,2.232,1.645,0.324,0.137,0.461
